record_id,workload_type,compute_demand_TFlops,storage_demand_TB,network_demand_Gbps,energy_source,energy_consumption_kWh,renewable_share_percent,carbon_emissions_kgCO2,qso_optimization_score,uncertainty_factor,security_level,pqc_enabled,energy_efficiency_index,service_quality_index,secure_operations_score,workload_scenario,scenario_strategy,operational_cost_usd,performance_metric
DC0302,Web Hosting,231.7,120.77,66.41,Wind,40611.88,76.55,975.34,0.089,0.413,Medium,1,0.705,0.948,0.561,Medium,Carbon-Neutral Objective,161235.93,0.669
DC0303,IoT Processing,79.02,116.9,12.29,Wind,41357.56,68.1,1641.31,0.512,0.206,Medium,1,0.86,0.581,0.682,Medium,Performance-Driven Strategy,155475.28,0.749
DC0304,AI Training,96.43,149.87,29.24,Grid,19845.94,24.02,892.53,0.919,0.877,Quantum-Safe,0,0.756,0.998,0.628,Medium,Carbon-Neutral Objective,184308.47,0.767
DC0305,Database Queries,254.2,162.54,40.08,Grid,23497.08,59.23,1602.96,0.904,0.158,Medium,0,0.972,0.559,0.753,High,Conventional,108974.13,0.72
DC0306,Cloud Storage,215.27,131.64,91.99,Wind,15861.01,17.87,1211.06,0.157,0.456,Medium,0,0.521,0.507,0.983,Low,Conventional,24512.61,0.863
DC0307,Database Queries,458.27,26.49,99.33,Grid,46695.19,43.96,1778.86,0.367,0.606,High,1,0.752,0.945,0.787,Peak,Performance-Driven Strategy,119794.35,0.968
DC0308,Database Queries,187.57,68.32,4.97,Wind,6813.54,47.22,851.34,0.619,0.692,Medium,1,0.792,0.622,0.945,Renewable Boost,Performance-Driven Strategy,156787.14,0.76
DC0309,Web Hosting,294.49,185.69,76.22,Hybrid,46753.72,13.58,1228.39,0.159,0.383,High,0,0.96,0.865,0.825,Low,Performance-Driven Strategy,23198.98,0.677
DC0310,AI Training,319.81,45.7,37.49,Hybrid,34509.46,34.66,1278.54,0.968,0.869,Low,0,0.525,0.906,0.738,Low,Balanced Approach,38668.19,0.708
DC0311,Database Queries,16.42,75.06,39.55,Wind,27047.04,96.01,863.9,0.915,0.568,Low,0,0.787,0.929,0.927,Renewable Boost,Carbon-Neutral Objective,7396.68,0.942
DC0312,Cloud Storage,335.13,86.98,75.55,Hybrid,2600.29,95.83,331.41,0.167,0.44,Quantum-Safe,1,0.927,0.996,0.736,High,Carbon-Neutral Objective,120762.25,0.829
DC0313,IoT Processing,97.24,88.44,91.88,Wind,24304.21,41.71,232.44,0.121,0.067,Quantum-Safe,0,0.621,0.647,0.934,High,Performance-Driven Strategy,177913.21,0.782
DC0314,AI Training,480.92,122.97,95.12,Solar,20979.66,13.88,82.51,0.085,0.465,Medium,1,0.938,0.855,0.646,Renewable Boost,Energy-Efficient Focus,135779.35,0.66
DC0315,Cloud Storage,82.84,188.67,57.92,Grid,8899.72,26.12,1753.39,0.909,0.821,Quantum-Safe,0,0.51,0.558,0.564,Low,Carbon-Neutral Objective,196497.82,0.78
DC0316,AI Training,213.17,48.9,36.03,Solar,33164.07,45.3,511.13,0.194,0.615,Medium,0,0.866,0.703,0.928,Renewable Boost,Energy-Efficient Focus,17291.56,0.711
DC0317,IoT Processing,51.82,25.18,78.86,Solar,48586.39,95.3,462.44,0.416,0.832,Medium,0,0.967,0.924,0.794,Peak,Conventional,181085.21,0.977
DC0318,Web Hosting,498.47,40.3,25.47,Grid,28547.25,22.71,1485.27,0.449,0.494,Low,1,0.829,0.684,0.945,Renewable Boost,Balanced Approach,163743.32,0.954
DC0319,AI Training,256.08,177.5,56.63,Solar,36022.91,78.72,674.03,0.599,0.118,Low,0,0.72,0.796,0.969,High,Balanced Approach,66277.1,0.634
DC0320,Cloud Storage,301.74,129.52,36.18,Solar,4354.07,19.78,1036.79,0.072,0.014,Medium,1,0.522,0.752,0.527,Renewable Boost,Balanced Approach,194837.68,0.807
DC0321,Cloud Storage,42.87,57.9,65.83,Solar,21465.68,98.31,366.9,0.227,0.303,Medium,1,0.96,0.823,0.75,Peak,Conventional,61147.86,0.69
DC0322,IoT Processing,377.48,163.37,24.42,Wind,6701.57,44.35,1921.5,0.931,0.698,Low,0,0.735,0.986,0.687,High,Conventional,178414.42,0.764
DC0323,IoT Processing,112.85,172.41,19.56,Wind,31027.0,79.77,1710.58,0.908,0.79,High,0,0.514,0.528,0.813,High,Conventional,176745.97,0.951
DC0324,Cloud Storage,450.05,169.46,91.86,Wind,46985.63,40.83,1734.39,0.781,0.296,High,1,0.845,0.787,0.897,High,Performance-Driven Strategy,152743.24,0.811
DC0325,Web Hosting,110.52,183.87,10.63,Grid,33427.11,66.49,843.21,0.019,0.496,Quantum-Safe,0,0.741,0.932,0.64,Medium,Balanced Approach,114876.74,0.734
DC0326,IoT Processing,103.44,51.2,50.84,Solar,4763.35,27.28,1536.6,0.327,0.421,High,0,0.562,0.741,0.778,Medium,Energy-Efficient Focus,28400.54,0.683
DC0327,Web Hosting,27.91,151.25,22.47,Grid,18378.64,23.14,330.56,0.628,0.411,High,1,0.607,0.539,0.854,Peak,Conventional,108734.49,0.92
DC0328,Web Hosting,241.31,92.65,4.37,Hybrid,27982.51,94.43,66.81,0.275,0.231,Quantum-Safe,1,0.532,0.78,0.567,High,Carbon-Neutral Objective,74575.27,0.85
DC0329,Database Queries,286.77,168.56,4.08,Grid,20757.18,92.59,88.95,0.91,0.136,Medium,0,0.787,0.666,0.907,Renewable Boost,Conventional,159482.32,0.787
DC0330,IoT Processing,42.2,145.97,17.93,Grid,41848.56,89.87,1193.87,0.634,0.197,Medium,1,0.811,0.577,0.803,Renewable Boost,Energy-Efficient Focus,152835.2,0.687
DC0331,Cloud Storage,390.01,155.51,86.74,Grid,40918.88,66.29,938.02,0.072,0.055,High,1,0.753,0.925,0.975,High,Balanced Approach,182569.44,0.734
DC0332,AI Training,232.11,131.58,28.61,Solar,30979.72,82.74,1060.13,0.909,0.198,Low,0,0.909,0.761,0.67,Renewable Boost,Carbon-Neutral Objective,7891.88,0.984
DC0333,IoT Processing,266.95,36.31,95.07,Hybrid,19299.44,16.21,64.55,0.958,0.009,Low,0,0.931,0.967,0.554,High,Energy-Efficient Focus,162775.13,0.808
DC0334,Cloud Storage,225.97,109.46,58.37,Hybrid,13511.48,40.13,874.24,0.078,0.627,High,0,0.808,0.903,0.753,High,Carbon-Neutral Objective,188000.1,0.76
DC0335,Database Queries,206.37,196.95,43.94,Hybrid,6187.84,38.23,1450.23,0.532,0.316,Quantum-Safe,1,0.506,0.846,0.543,High,Energy-Efficient Focus,158913.59,0.809
DC0336,Database Queries,284.22,187.54,58.22,Grid,18389.99,67.21,913.25,0.303,0.973,Medium,0,0.848,0.503,0.985,Peak,Balanced Approach,30387.92,0.912
DC0337,AI Training,86.07,9.59,51.91,Grid,21245.45,42.04,1477.83,0.393,0.194,Low,1,0.709,0.714,0.519,Low,Balanced Approach,20849.43,0.736
DC0338,AI Training,99.14,33.8,76.0,Grid,34115.32,23.37,504.39,0.18,0.346,High,1,0.783,0.599,0.877,Renewable Boost,Conventional,9064.82,0.671
DC0339,Web Hosting,432.27,27.21,28.61,Hybrid,33249.83,63.68,1635.63,0.578,0.358,Quantum-Safe,0,0.825,0.955,0.763,Medium,Balanced Approach,127605.32,0.834
DC0340,Database Queries,473.6,145.47,35.63,Solar,4435.3,83.29,1197.44,0.958,0.008,Low,0,0.675,0.587,0.684,Low,Performance-Driven Strategy,127786.17,0.866
DC0341,Web Hosting,192.92,163.74,89.46,Wind,20367.71,44.39,460.99,0.503,0.839,Quantum-Safe,0,0.959,0.643,0.533,Medium,Balanced Approach,197448.17,0.885
DC0342,AI Training,142.66,43.49,94.67,Solar,9907.16,21.9,511.6,0.083,0.032,Low,0,0.567,0.758,0.811,Renewable Boost,Balanced Approach,82618.42,0.953
DC0343,AI Training,325.56,101.66,89.31,Wind,8683.82,27.7,1274.66,0.62,0.94,Quantum-Safe,0,0.836,0.632,0.793,Low,Balanced Approach,69721.73,0.748
DC0344,Web Hosting,210.28,168.3,42.24,Wind,41537.81,31.37,1668.38,0.34,0.892,Quantum-Safe,1,0.502,0.605,0.64,High,Balanced Approach,126762.86,0.63
DC0345,Web Hosting,22.44,146.83,78.15,Grid,3053.85,36.99,860.47,0.856,0.536,Low,1,0.962,0.8,0.955,Peak,Conventional,165993.69,0.983
DC0346,Database Queries,86.51,108.91,47.9,Solar,21539.96,67.85,553.69,0.435,0.544,Quantum-Safe,1,0.556,0.544,0.652,Renewable Boost,Balanced Approach,187670.92,0.774
DC0347,AI Training,360.83,118.48,50.01,Wind,9241.98,64.09,1740.67,0.193,0.654,Low,0,0.547,0.529,0.725,High,Carbon-Neutral Objective,161609.21,0.849
DC0348,Database Queries,332.87,102.16,20.87,Hybrid,44087.18,72.65,1355.07,0.191,0.387,Medium,0,0.667,0.686,0.772,Peak,Balanced Approach,88201.43,0.867
DC0349,Database Queries,23.28,60.21,59.32,Grid,28294.99,42.63,923.77,0.769,0.647,Quantum-Safe,0,0.687,0.86,0.55,Peak,Energy-Efficient Focus,128808.28,0.819
DC0350,Web Hosting,118.77,113.44,19.02,Grid,12337.65,84.16,1001.41,0.266,0.045,Medium,0,0.607,0.777,0.966,Medium,Performance-Driven Strategy,171978.37,0.682
DC0351,AI Training,123.23,138.09,33.49,Grid,25618.94,28.37,448.3,0.767,0.054,Medium,0,0.793,0.711,0.687,Low,Energy-Efficient Focus,100668.89,0.902
DC0352,AI Training,339.23,174.79,85.58,Hybrid,36842.83,52.21,1272.27,0.206,0.457,Low,0,0.721,0.783,0.54,High,Energy-Efficient Focus,47253.9,0.922
DC0353,Web Hosting,19.66,127.62,21.1,Grid,47947.78,82.08,749.55,0.322,0.55,Quantum-Safe,0,0.517,0.683,0.694,Renewable Boost,Balanced Approach,38096.07,0.821
DC0354,Database Queries,61.01,152.46,7.58,Solar,11801.85,26.21,1991.51,0.465,0.888,Medium,0,0.66,0.968,0.8,Medium,Balanced Approach,5030.76,0.795
DC0355,Cloud Storage,401.96,32.85,7.37,Hybrid,44422.91,19.89,986.36,0.943,0.105,Low,0,0.905,0.527,0.757,Medium,Carbon-Neutral Objective,145056.41,0.646
DC0356,Database Queries,97.49,92.85,94.11,Wind,46780.9,89.53,997.48,0.932,0.823,Low,0,0.845,0.837,0.847,Peak,Carbon-Neutral Objective,26663.96,0.634
DC0357,Cloud Storage,329.85,2.86,50.94,Solar,45904.61,40.86,1153.41,0.207,0.21,High,1,0.862,0.946,0.528,High,Energy-Efficient Focus,52548.62,0.736
DC0358,AI Training,126.71,50.09,41.24,Solar,32135.3,71.55,1837.67,0.358,0.394,Quantum-Safe,1,0.849,0.902,0.642,Low,Performance-Driven Strategy,63085.88,0.724
DC0359,Cloud Storage,58.73,145.57,81.18,Wind,31861.21,12.28,1611.6,0.149,0.317,Low,1,0.655,0.592,0.91,High,Carbon-Neutral Objective,114274.07,0.981
DC0360,AI Training,129.15,198.37,83.66,Wind,20757.32,72.1,929.7,0.51,0.4,Low,0,0.55,0.648,0.54,High,Balanced Approach,82601.67,0.913
DC0361,IoT Processing,363.91,20.74,33.55,Wind,37867.5,38.45,1451.46,0.461,0.15,Low,1,0.636,0.859,0.928,Low,Balanced Approach,136561.43,0.864
DC0362,Web Hosting,429.29,80.9,69.51,Hybrid,27033.41,15.02,1193.16,0.901,0.504,High,1,0.916,0.542,0.546,Renewable Boost,Balanced Approach,15849.54,0.807
DC0363,AI Training,416.81,160.21,77.23,Hybrid,34194.47,64.88,1010.12,0.93,0.802,High,1,0.99,0.906,0.917,Low,Balanced Approach,29168.14,0.667
DC0364,AI Training,204.62,41.6,65.64,Solar,21994.44,31.67,425.02,0.384,0.442,High,0,0.747,0.859,0.68,High,Balanced Approach,102346.24,0.991
DC0365,IoT Processing,337.36,111.46,15.58,Solar,36843.33,44.81,954.68,0.492,0.491,Low,0,0.505,0.865,0.806,Renewable Boost,Balanced Approach,70708.13,0.75
DC0366,Web Hosting,110.44,146.88,87.65,Hybrid,41399.1,17.25,529.35,0.896,0.849,Medium,1,0.57,0.55,0.576,Peak,Balanced Approach,62683.61,0.643
DC0367,AI Training,153.64,123.58,54.14,Wind,8175.38,23.24,1833.94,0.807,0.706,Medium,0,0.661,0.859,0.533,Peak,Performance-Driven Strategy,18070.48,0.798
DC0368,Database Queries,449.2,38.42,28.61,Wind,41813.56,36.82,704.04,0.004,0.49,Low,1,0.789,0.84,0.608,Peak,Performance-Driven Strategy,179665.24,0.95
DC0369,Web Hosting,16.37,71.72,42.81,Wind,27474.53,18.08,1906.91,0.32,0.258,Medium,1,0.538,0.915,0.564,Renewable Boost,Conventional,139904.62,0.955
DC0370,Cloud Storage,51.9,156.97,4.24,Wind,42388.63,91.97,1089.46,0.422,0.885,Low,0,0.972,0.521,0.656,Renewable Boost,Energy-Efficient Focus,28715.54,0.604
DC0371,AI Training,111.86,111.29,13.22,Hybrid,22133.78,10.54,1281.51,0.23,0.577,High,0,0.683,0.512,0.757,Low,Conventional,17683.96,0.955
DC0372,Database Queries,23.0,2.04,76.67,Wind,19572.98,53.55,1108.73,0.2,0.221,High,0,0.956,0.687,0.794,Renewable Boost,Energy-Efficient Focus,195100.14,0.709
DC0373,Database Queries,98.9,152.44,0.5,Solar,45837.98,21.09,302.29,0.038,0.269,Quantum-Safe,0,0.89,0.574,0.895,Peak,Carbon-Neutral Objective,137828.65,0.616
DC0374,Cloud Storage,295.69,8.03,41.95,Grid,13307.29,37.69,782.85,0.643,0.803,Low,1,0.878,0.779,0.828,Peak,Conventional,86403.93,0.939
DC0375,IoT Processing,216.5,149.4,52.49,Wind,42366.4,93.35,243.33,0.263,0.044,Quantum-Safe,1,0.803,0.959,0.804,Peak,Energy-Efficient Focus,141837.55,0.946
DC0376,Cloud Storage,447.41,41.29,5.94,Grid,24717.01,24.55,1264.76,0.052,0.992,Low,0,0.813,0.696,0.706,High,Balanced Approach,152484.7,0.838
DC0377,IoT Processing,410.55,191.66,97.32,Wind,26190.68,96.92,921.4,0.231,0.13,Quantum-Safe,1,0.819,0.922,0.737,Low,Carbon-Neutral Objective,157092.63,0.83
DC0378,IoT Processing,177.49,74.22,23.0,Solar,16114.95,28.52,1567.07,0.802,0.796,Medium,1,0.814,0.5,0.707,Medium,Balanced Approach,98186.07,0.925
DC0379,IoT Processing,137.12,66.06,30.77,Hybrid,29079.07,76.74,479.92,0.851,0.395,Quantum-Safe,1,0.777,0.584,0.921,Renewable Boost,Energy-Efficient Focus,88827.14,0.915
DC0380,Web Hosting,196.05,30.63,30.74,Grid,16935.35,59.2,370.9,0.483,0.492,Quantum-Safe,1,0.993,0.515,0.615,Medium,Carbon-Neutral Objective,7150.48,0.956
DC0381,AI Training,299.24,61.82,23.43,Hybrid,2924.2,89.6,842.35,0.416,0.881,Quantum-Safe,1,0.866,0.664,0.503,Peak,Balanced Approach,185678.64,0.821
DC0382,Database Queries,141.35,175.45,0.65,Hybrid,14327.93,59.86,1856.84,0.978,0.413,Medium,1,0.888,0.954,0.826,Medium,Conventional,122645.04,0.987
DC0383,Cloud Storage,315.83,199.27,73.07,Wind,1312.57,58.11,1435.32,0.201,0.537,Low,1,0.936,0.548,0.601,Medium,Energy-Efficient Focus,44615.02,0.998
DC0384,AI Training,210.61,74.29,96.7,Hybrid,48939.38,27.59,866.9,0.215,0.049,Medium,1,0.608,0.803,0.945,Low,Performance-Driven Strategy,184322.67,0.647
DC0385,IoT Processing,280.5,90.27,22.82,Hybrid,48321.61,24.96,1058.68,0.292,0.002,Quantum-Safe,1,0.542,0.726,0.93,Low,Carbon-Neutral Objective,183411.72,0.94
DC0386,Cloud Storage,223.7,144.69,66.47,Hybrid,20362.61,92.48,214.22,0.173,0.245,Quantum-Safe,0,0.741,0.969,0.538,High,Conventional,197890.91,0.8
DC0387,Database Queries,154.29,177.35,74.32,Grid,36690.17,39.51,1969.92,0.379,0.681,Quantum-Safe,0,0.757,0.561,0.553,Renewable Boost,Performance-Driven Strategy,175441.03,0.755
DC0388,Web Hosting,474.74,119.02,84.92,Solar,17944.5,43.49,1349.49,0.911,0.121,Medium,1,0.915,0.606,0.748,Low,Carbon-Neutral Objective,199567.96,0.845
DC0389,AI Training,384.17,78.91,42.55,Solar,33883.56,78.38,606.54,0.615,0.114,Low,1,0.722,0.515,0.805,Low,Balanced Approach,52713.81,0.622
DC0390,IoT Processing,78.66,83.11,30.64,Hybrid,40466.07,40.49,1192.33,0.412,0.411,Medium,0,0.785,0.717,0.637,Medium,Balanced Approach,169238.67,0.803
DC0391,Cloud Storage,435.55,139.43,32.87,Grid,47391.06,95.69,263.49,0.934,0.648,High,1,0.764,0.639,0.858,Low,Carbon-Neutral Objective,165490.52,0.948
DC0392,IoT Processing,248.84,1.64,71.41,Hybrid,20610.4,76.41,1933.38,0.048,0.712,Medium,1,0.519,0.935,0.797,Low,Energy-Efficient Focus,50033.37,0.685
DC0393,Database Queries,448.33,124.3,81.77,Solar,39381.6,63.77,390.83,0.21,0.178,Medium,1,0.808,0.802,0.662,High,Carbon-Neutral Objective,24195.32,0.771
DC0394,AI Training,401.93,71.74,18.57,Wind,14030.49,89.28,1313.66,0.566,0.08,Low,1,0.914,0.807,0.513,Medium,Balanced Approach,195987.0,0.976
DC0395,Database Queries,218.35,159.05,37.41,Grid,49526.28,14.46,528.64,0.616,0.94,Low,0,0.579,0.766,0.875,Medium,Performance-Driven Strategy,62724.79,0.771
DC0396,IoT Processing,21.01,19.51,90.24,Solar,2262.71,33.14,1449.24,0.04,0.261,Quantum-Safe,1,0.797,0.546,0.607,Renewable Boost,Carbon-Neutral Objective,174823.9,0.743
DC0397,Database Queries,141.65,118.05,80.77,Wind,30572.91,51.85,1564.8,0.403,0.853,High,1,0.797,0.723,0.917,Renewable Boost,Balanced Approach,5804.8,0.776
DC0398,Web Hosting,275.4,96.71,98.49,Solar,33315.79,30.43,1363.17,0.649,0.863,Quantum-Safe,1,0.582,1.0,0.71,Renewable Boost,Balanced Approach,9099.84,0.808
DC0399,AI Training,320.4,128.82,75.55,Hybrid,34714.23,76.95,1248.27,0.698,0.773,Medium,0,0.562,0.918,0.789,Low,Energy-Efficient Focus,95844.91,0.853
DC0400,Web Hosting,136.36,13.91,39.62,Wind,6898.99,92.73,1790.31,0.638,0.169,Medium,0,0.99,0.947,0.936,Renewable Boost,Carbon-Neutral Objective,51549.36,0.92
DC0401,AI Training,78.28,116.42,59.27,Hybrid,46987.96,48.14,203.32,0.321,0.822,High,1,0.697,0.912,0.932,Low,Balanced Approach,139519.05,0.781
DC0402,Web Hosting,419.12,112.74,66.27,Hybrid,9877.98,40.79,695.28,0.094,0.769,Quantum-Safe,0,0.614,0.552,0.686,Peak,Energy-Efficient Focus,115285.04,0.927
DC0403,Database Queries,492.36,112.57,8.31,Wind,31514.92,96.54,534.16,0.427,0.597,Quantum-Safe,0,0.586,0.614,0.604,Medium,Balanced Approach,20109.73,0.813
DC0404,AI Training,267.59,121.09,54.68,Hybrid,11911.13,50.04,1976.63,0.129,0.337,Low,1,0.834,0.502,0.888,Peak,Energy-Efficient Focus,36712.52,0.735
DC0405,Cloud Storage,94.12,135.62,71.08,Solar,16053.6,54.01,809.31,0.948,0.263,Medium,0,0.805,0.652,0.717,Medium,Balanced Approach,80669.61,0.863
DC0406,AI Training,143.43,161.19,17.15,Wind,27776.47,41.65,1478.59,0.475,0.122,Low,0,0.822,0.554,0.596,Renewable Boost,Energy-Efficient Focus,41192.79,0.887
DC0407,AI Training,19.01,54.69,78.17,Grid,21442.48,91.86,1385.21,0.317,0.51,High,0,0.544,0.736,0.952,Renewable Boost,Conventional,159483.36,0.823
DC0408,IoT Processing,458.01,165.18,58.59,Hybrid,8851.05,61.21,463.56,0.766,0.585,High,0,0.947,0.839,0.599,High,Balanced Approach,86133.7,0.623
DC0409,AI Training,67.7,100.15,95.25,Solar,9375.88,78.6,516.05,0.498,0.359,High,0,0.695,0.937,0.513,Low,Performance-Driven Strategy,23219.21,0.668
DC0410,Cloud Storage,292.49,16.33,4.72,Solar,21489.09,83.06,598.5,0.31,0.475,Low,0,0.657,0.875,0.51,Peak,Performance-Driven Strategy,99446.87,0.714
DC0411,IoT Processing,144.29,12.65,26.9,Grid,38106.87,40.77,851.7,0.812,0.364,Low,0,0.731,0.969,0.811,Medium,Balanced Approach,22713.45,0.713
DC0412,AI Training,281.55,67.51,60.35,Grid,45000.27,49.03,506.93,0.867,0.641,High,1,0.695,0.527,0.831,High,Carbon-Neutral Objective,30142.77,0.869
DC0413,Web Hosting,329.2,157.19,30.01,Hybrid,5122.26,86.36,88.32,0.673,0.901,Low,1,0.932,0.506,0.656,Renewable Boost,Balanced Approach,51723.92,0.607
DC0414,Database Queries,416.57,141.83,71.59,Solar,20262.09,42.69,1764.82,0.047,0.164,Low,0,0.965,0.831,0.66,Peak,Performance-Driven Strategy,172607.9,0.902
DC0415,Database Queries,111.15,157.93,76.02,Hybrid,5912.03,81.45,1932.94,0.566,0.381,Medium,1,0.652,0.645,0.67,Renewable Boost,Energy-Efficient Focus,185299.44,0.706
DC0416,IoT Processing,15.39,103.94,10.7,Hybrid,1813.03,94.69,716.06,0.763,0.141,High,0,0.932,0.627,0.84,Renewable Boost,Conventional,166120.26,0.724
DC0417,IoT Processing,77.07,88.6,51.63,Solar,33424.22,66.09,710.09,0.137,0.625,Low,0,0.891,0.665,0.529,Peak,Performance-Driven Strategy,70145.06,0.811
DC0418,Web Hosting,451.01,30.34,51.13,Solar,30520.02,76.75,63.83,0.229,0.729,High,1,0.965,0.635,0.965,Medium,Performance-Driven Strategy,58127.06,0.686
DC0419,Web Hosting,438.21,66.31,37.24,Wind,8987.94,82.46,1376.49,0.882,0.932,Quantum-Safe,0,0.623,0.756,0.611,Peak,Conventional,112085.36,0.954
DC0420,AI Training,302.73,87.37,93.33,Wind,12456.83,86.05,1659.61,0.02,0.279,High,1,0.788,0.72,1.0,Low,Conventional,145761.37,0.634
DC0421,Web Hosting,304.25,18.63,82.84,Wind,2161.68,45.55,335.89,0.753,0.95,Quantum-Safe,0,0.637,0.756,0.586,Low,Conventional,198707.69,0.778
DC0422,Cloud Storage,335.87,44.9,69.87,Hybrid,41912.41,14.61,361.35,0.474,0.063,High,1,0.912,0.836,0.886,Peak,Performance-Driven Strategy,30656.29,0.94
DC0423,IoT Processing,95.93,120.05,71.58,Wind,48759.84,46.17,1590.66,0.447,0.603,Low,0,0.503,0.694,0.612,Renewable Boost,Carbon-Neutral Objective,14611.94,0.846
DC0424,AI Training,458.06,147.4,46.44,Hybrid,7637.52,70.64,1251.77,0.007,0.057,Quantum-Safe,1,0.782,0.626,0.54,Peak,Energy-Efficient Focus,140399.4,0.717
DC0425,AI Training,215.2,199.67,92.14,Solar,12342.29,50.53,137.48,0.819,0.894,Quantum-Safe,1,0.67,0.583,0.937,Renewable Boost,Carbon-Neutral Objective,167284.03,0.768
DC0426,Database Queries,197.74,186.69,69.61,Solar,43552.07,77.41,1263.97,0.36,0.53,Medium,0,0.661,0.675,0.929,Peak,Carbon-Neutral Objective,170038.01,0.883
DC0427,Database Queries,264.27,128.87,73.03,Grid,46396.73,42.13,652.39,0.541,0.669,High,1,0.822,0.871,0.702,Medium,Conventional,137300.39,0.989
DC0428,Web Hosting,33.01,84.83,86.24,Hybrid,21561.74,67.13,769.01,0.677,0.832,Quantum-Safe,0,0.926,0.878,0.851,Peak,Performance-Driven Strategy,191033.08,0.957
DC0429,AI Training,91.48,127.6,27.77,Solar,3480.5,26.78,1550.98,0.703,0.15,Medium,0,0.805,0.833,0.779,Renewable Boost,Energy-Efficient Focus,104645.93,0.737
DC0430,Cloud Storage,371.64,157.34,80.8,Grid,2930.2,77.44,1631.32,0.956,0.039,Medium,1,0.927,0.617,0.926,High,Balanced Approach,183193.89,0.999
DC0431,Cloud Storage,50.57,24.55,19.93,Wind,29123.54,59.11,830.7,0.531,0.879,Quantum-Safe,0,0.632,0.794,0.658,High,Balanced Approach,193723.37,0.601
DC0432,Cloud Storage,305.54,82.57,34.86,Solar,20251.86,28.37,1896.95,0.4,0.315,High,1,0.76,0.785,0.762,Renewable Boost,Performance-Driven Strategy,170195.7,0.611
DC0433,Web Hosting,130.22,168.12,33.89,Grid,2403.97,36.27,842.6,0.954,0.129,Low,0,0.725,0.742,0.743,Low,Carbon-Neutral Objective,65402.92,0.93
DC0434,Web Hosting,200.75,77.38,97.86,Wind,29579.37,77.37,1555.08,0.642,0.468,Low,0,0.506,0.775,0.677,Peak,Conventional,43262.05,0.68
DC0435,IoT Processing,151.46,114.8,85.73,Hybrid,1553.82,53.43,993.56,0.298,0.598,Quantum-Safe,0,0.778,0.746,0.946,Medium,Carbon-Neutral Objective,111883.41,0.624
DC0436,Web Hosting,184.28,117.97,70.27,Solar,39581.23,29.44,1800.19,0.126,0.031,Low,1,0.831,0.783,0.583,Medium,Energy-Efficient Focus,93337.88,0.695
DC0437,IoT Processing,362.33,37.71,72.84,Wind,16015.21,97.05,1820.13,0.843,0.275,High,0,0.796,0.858,0.575,Low,Carbon-Neutral Objective,176162.88,0.77
DC0438,AI Training,155.59,73.08,56.43,Wind,2972.64,74.36,220.46,0.362,0.033,High,1,0.868,0.555,0.788,Peak,Energy-Efficient Focus,24506.18,0.892
DC0439,Cloud Storage,287.54,67.57,94.74,Wind,29829.26,96.14,1876.16,0.66,0.42,High,1,0.786,0.875,0.829,Medium,Carbon-Neutral Objective,55259.31,0.85
DC0440,IoT Processing,243.26,6.21,49.88,Grid,20486.54,48.44,1659.79,0.471,0.895,Low,0,0.533,0.568,0.597,Peak,Carbon-Neutral Objective,151600.79,0.695
DC0441,AI Training,335.2,5.81,38.36,Solar,48716.22,52.76,1593.06,0.199,0.983,High,1,0.558,0.533,0.695,Renewable Boost,Balanced Approach,23522.4,0.801
DC0442,AI Training,469.05,166.51,16.72,Solar,27665.73,90.82,441.78,0.602,0.637,Low,1,0.798,0.988,0.973,Peak,Energy-Efficient Focus,67549.06,0.97
DC0443,AI Training,368.96,55.34,78.73,Hybrid,14486.72,57.25,1619.98,0.061,0.162,Quantum-Safe,0,0.637,0.978,0.623,Medium,Carbon-Neutral Objective,80495.3,0.926
DC0444,AI Training,115.32,104.1,73.58,Solar,35762.5,73.66,1707.76,0.413,0.906,High,1,0.54,0.53,0.834,Low,Carbon-Neutral Objective,126405.79,0.729
DC0445,AI Training,25.28,60.45,38.74,Wind,14303.11,32.7,613.84,0.547,0.516,Medium,0,0.715,0.722,0.87,Renewable Boost,Energy-Efficient Focus,35835.87,0.993
DC0446,IoT Processing,138.51,188.2,3.01,Wind,45307.92,50.21,1906.91,0.436,0.154,High,1,0.777,0.593,0.724,Peak,Performance-Driven Strategy,172817.88,0.883
DC0447,Web Hosting,301.59,52.6,83.98,Solar,19361.38,21.11,147.23,0.749,0.922,High,0,0.664,0.743,0.969,Low,Balanced Approach,92270.74,0.625
DC0448,Web Hosting,35.2,86.5,1.64,Wind,27943.56,28.54,342.32,0.828,0.757,Medium,0,0.86,0.915,0.868,Renewable Boost,Performance-Driven Strategy,183819.23,0.614
DC0449,Cloud Storage,253.22,174.67,70.52,Hybrid,3478.08,10.08,1098.28,0.771,0.732,High,0,0.822,0.975,0.729,High,Carbon-Neutral Objective,96234.63,0.667
DC0450,Database Queries,302.45,168.54,97.04,Wind,21879.94,13.53,1172.8,0.039,0.709,Quantum-Safe,1,0.666,0.817,0.785,Low,Energy-Efficient Focus,58632.85,0.891
DC0451,IoT Processing,173.78,38.03,44.05,Hybrid,41785.81,97.96,1308.04,0.194,0.2,Medium,0,0.877,0.677,0.846,High,Conventional,32656.62,0.673
DC0452,Web Hosting,387.75,160.73,23.88,Grid,40476.79,31.81,83.09,0.537,0.211,Quantum-Safe,0,0.824,0.802,0.796,Peak,Conventional,5730.29,0.805
